trial,health,tare_offset,sens_at_0p5_1N,fz_med_corr,fz_p90_corr,fz_max_corr,n_frames,n_pos,n_pos_total
eco20_xy1_d10_z3.5_test1,ok,0.0016085882671177387,14.085116386413574,0.49310264689847827,2.67298655314371,3.0076558808796108,239940,441,441
eco20_xy1_d10_z3.5_test2,ok,0.0009466154151596129,14.654935359954834,0.4744021850056015,2.6180360572761856,2.944242860598024,239746,441,441
eco20_xy1_d10_z3.5_test3,ok,-0.0014956034719944,14.710788249969482,0.454048965126276,2.55238733664155,2.8800494708120823,239559,441,441
eco20_xy1_d5_z2.5_test1,ok,-0.0003457302809692919,nan,0.008000143396202475,0.24396414706716313,0.2865294451476075,241457,441,441
eco20_xy1_d5_z2.5_test2,ok,0.0014489421155303717,nan,0.006092970026656985,0.2398333048913628,0.28558142692781985,241612,441,441
eco20_xy1_d5_z2.5_test3,ok,0.0009272733295802027,nan,0.00629450855194591,0.23966590971103877,0.28170629948726855,241618,441,441
eco50_xy1_d10_z3.5_test1,ok,0.0008985138847492635,16.509183883666992,0.8573839031741954,4.187962283997331,4.689822521118913,239574,441,441
eco50_xy1_d10_z3.5_test2,ok,0.00012657670231419615,16.91825294494629,0.8453700778081839,4.117759394367022,4.666521334369463,240473,441,441
eco50_xy1_d10_z3.5_test3,ok,0.00020551681518554688,16.309072494506836,0.9104307889938354,4.140332412719727,4.707147121429443,233469,441,441
eco50_xy1_d5_z2.5_test1,ok,-0.004090294940397143,12.280083656311035,0.010656185215339065,0.5045801497530192,0.6052722192835063,242705,441,441
eco50_xy1_d5_z2.5_test2,ok,-0.0002609701768960804,10.426159381866455,0.009779711806913838,0.5053441734926309,0.6156609268800821,242450,441,441
eco50_xy1_d5_z2.5_test3,ok,0.0004914869787171483,11.678768157958984,0.01012370630633086,0.5090844581602142,0.6045395861146972,242390,441,441
ecomesh_xy0p5_d10_z3.5_test1,ok,0.0,14.958320617675781,0.8438155651092529,2.0693363666534426,2.67531681060791,1295105,1681,1681
ecomesh_xy0p5_d10_z3.5_test2,ok,-0.006078167585656047,24.79212760925293,0.30600641551427543,1.5183407980483026,2.111019058851525,1275688,1681,1681
ecomesh_xy0p5_d10_z3.5_test3,ok,-0.004290800541639328,25.379582405090332,0.2906305156648159,1.4948001436889171,2.0834018997848034,1273748,1681,1681
ecomesh_xy0p5_d5_z2.5_test1,ok,0.09308359026908875,14.073806762695312,0.6926530003547668,2.368196541070938,3.3267710506916046,1547674,1681,1681
ecomesh_xy0p5_d5_z2.5_test10,ok,0.0012807885650545359,14.19027328491211,0.47810782096348703,1.9760403831955076,3.1974191626068205,1609712,1681,1681
ecomesh_xy0p5_d5_z2.5_test2,ok,0.02831193618476391,14.16954231262207,0.766352565959096,2.4279620964080104,3.3413601238280535,1547215,1681,1681
ecomesh_xy0p5_d5_z2.5_test3,ok,0.0,14.012880325317383,0.7901747524738312,2.466826915740967,3.2975945472717285,1547336,1681,1681
ecomesh_xy0p5_d5_z2.5_test4,ok,0.0,15.00151252746582,0.8157973885536194,2.2725128650665285,3.2921764850616455,1587478,1681,1681
ecomesh_xy0p5_d5_z2.5_test5,ok,0.0,14.797690391540527,0.8083885908126831,2.254123258590697,3.2850310802459717,1588099,1681,1681
ecomesh_xy0p5_d5_z2.5_test6,ok,0.0652678981423378,14.257942199707031,0.4347689375281334,1.9594984754920006,3.1900645717978477,1609428,1681,1681
ecomesh_xy0p5_d5_z2.5_test7,ok,0.006662691477686167,13.955860137939453,0.4857777408324182,2.003756724949926,3.210308705922216,1608949,1681,1681
ecomesh_xy0p5_d5_z2.5_test8,ok,0.0022648691665381193,13.970107078552246,0.47106358711607754,1.9648909211624412,3.1689234853256494,1609854,1681,1681
ecomesh_xy0p5_d5_z2.5_test9,ok,-0.00016621440590824932,14.220740795135498,0.4746882089966675,1.9672752985352417,3.1760700115555665,1609281,1681,1681
ecomesh_xy1_d10_z3.5_test1,ok,0.0077117509208619595,17.001742362976074,0.8310528271831572,3.655379169527441,4.67143120104447,256582,441,441
ecomesh_xy1_d10_z3.5_test2,ok,0.009017508011311293,17.604677200317383,0.8236929965205491,3.639193017501384,4.616971452254802,256321,441,441
ecomesh_xy1_d10_z3.5_test3,ok,0.008721630554646254,17.745866775512695,0.8164445054717362,3.621184380073101,4.638517100829631,256438,441,441
ecomesh_xy1_d5_z2.5_test1,ok,-0.020517753437161446,12.883459568023682,0.011423671618103981,0.5149437982589007,0.69624631293118,241874,441,441
ecomesh_xy1_d5_z2.5_test2,ok,-0.13409380614757538,12.642945766448975,0.010591134428977966,0.5099143236875534,0.7023183554410934,239332,441,441
ecomesh_xy1_d5_z2.5_test3,ok,0.0010986531851813197,12.613406658172607,0.01081820682156831,0.5050225054146722,0.6803836022736505,242533,441,441
