,Total |ΔS| (%),Active taxels (N),Propagation σ (mm),Entropy H_norm
eco20,69.32437994665048,4.866213151927438,2.8185091719453346,0.24201479821874392
eco50,111.96081075092938,6.185941043083901,3.609210569592784,0.34942550621817003
ecomesh,101.86115630218727,6.90702947845805,3.583818154366805,0.33975816842064627
