,peak_%,halfmax_diam_mm,sigma_mm,active_cells
eco20,99.99860705312426,5.074255695771288,2.2506502754480584,42.5
eco50,100.0,6.625461206151177,2.5528299541655946,54.5
ecomesh,100.0,6.254880902150477,2.478159239603576,51.5
