material,set,Total |ΔS| (%),Active taxels (N),Propagation σ (mm),Entropy H_norm
eco20,20260619_test2,69.32437994665048,4.866213151927438,2.8185091719453346,0.24201479821874392
eco20,20260619_test3,68.2741837013458,4.795918367346939,2.8089601157535156,0.2407043347904569
eco20,20260619_test4,67.0422466093521,4.764172335600907,2.8070044050892284,0.240263672061002
eco20,MEAN,68.21360341911613,4.808767951625095,2.8114912309293594,0.24099426835673424
eco20,STD(n=3),1.1422721305575243,0.05221988042151431,0.006155877120961743,0.0009108549883064461
eco50,20260620_test1,112.48680333998011,6.142857142857143,3.6078024076671906,0.3490545859596187
eco50,20260620_test2,111.96081075092938,6.185941043083901,3.609210569592784,0.34942550621817003
eco50,20260620_test3,112.17232975362089,6.195011337868481,3.610015122629032,0.34954099183618637
eco50,MEAN,112.2066479481768,6.174603174603175,3.6090093666296688,0.34934036133799173
eco50,STD(n=3),0.2646702756114776,0.027864412080372915,0.001119995022249621,0.000254135607806796
ecomesh,20260622_test4,101.86115630218727,6.90702947845805,3.583818154366805,0.33975816842064627
ecomesh,20260622_test5,100.82952114416423,6.777777777777778,3.521710959886934,0.33129271029205715
ecomesh,20260622_test6,100.67116731849339,6.770975056689342,3.5169327590129744,0.33080258743480345
ecomesh,MEAN,101.12061492161497,6.8185941043083895,3.540820624422238,0.3339511553825023
ecomesh,STD(n=3),0.6461966695837266,0.07666277326248061,0.037313516142256586,0.00503498812537639
