material,train_trials,val_trials,best_epoch,best_val_rmse,final_train_loss,grid_step_mm,gt_mode,run_dir
ecomesh_xy0p5,ecomesh_xy0p5_d5_z2.5_test2;ecomesh_xy0p5_d5_z2.5_test3;ecomesh_xy0p5_d10_z3.5_test2;ecomesh_xy0p5_d10_z3.5_test3,ecomesh_xy0p5_d5_z2.5_test1;ecomesh_xy0p5_d10_z3.5_test1,15,0.33519906301,0.00270732676826,0.5,gpu_on_the_fly,sats/training/runs/ecomesh_resolution_controlled_d5d10/ecomesh_controlled_d5d10_ecomesh_xy0p5_fold1_e2e_g05
ecomesh_xy0p5,ecomesh_xy0p5_d5_z2.5_test1;ecomesh_xy0p5_d5_z2.5_test3;ecomesh_xy0p5_d10_z3.5_test1;ecomesh_xy0p5_d10_z3.5_test3,ecomesh_xy0p5_d5_z2.5_test2;ecomesh_xy0p5_d10_z3.5_test2,20,0.319158769335,0.0033352224763,0.5,gpu_on_the_fly,sats/training/runs/ecomesh_resolution_controlled_d5d10/ecomesh_controlled_d5d10_ecomesh_xy0p5_fold2_e2e_g05
ecomesh_xy0p5,ecomesh_xy0p5_d5_z2.5_test1;ecomesh_xy0p5_d5_z2.5_test2;ecomesh_xy0p5_d10_z3.5_test1;ecomesh_xy0p5_d10_z3.5_test2,ecomesh_xy0p5_d5_z2.5_test3;ecomesh_xy0p5_d10_z3.5_test3,19,0.425817018929,0.00319334639039,0.5,gpu_on_the_fly,sats/training/runs/ecomesh_resolution_controlled_d5d10/ecomesh_controlled_d5d10_ecomesh_xy0p5_fold3_e2e_g05
ecomesh_xy1,ecomesh_xy1_d5_z2.5_test2;ecomesh_xy1_d5_z2.5_test3;ecomesh_xy1_d10_z3.5_test2;ecomesh_xy1_d10_z3.5_test3,ecomesh_xy1_d5_z2.5_test1;ecomesh_xy1_d10_z3.5_test1,1,0.553923825236,0.00780174762313,0.5,gpu_on_the_fly,sats/training/runs/ecomesh_resolution_controlled_d5d10/ecomesh_controlled_d5d10_ecomesh_xy1_fold1_e2e_g05
ecomesh_xy1,ecomesh_xy1_d5_z2.5_test1;ecomesh_xy1_d5_z2.5_test3;ecomesh_xy1_d10_z3.5_test1;ecomesh_xy1_d10_z3.5_test3,ecomesh_xy1_d5_z2.5_test2;ecomesh_xy1_d10_z3.5_test2,32,0.14300960151,0.00573032644585,0.5,gpu_on_the_fly,sats/training/runs/ecomesh_resolution_controlled_d5d10/ecomesh_controlled_d5d10_ecomesh_xy1_fold2_e2e_g05
ecomesh_xy1,ecomesh_xy1_d5_z2.5_test1;ecomesh_xy1_d5_z2.5_test2;ecomesh_xy1_d10_z3.5_test1;ecomesh_xy1_d10_z3.5_test2,ecomesh_xy1_d5_z2.5_test3;ecomesh_xy1_d10_z3.5_test3,45,0.133089206891,0.00590086490042,0.5,gpu_on_the_fly,sats/training/runs/ecomesh_resolution_controlled_d5d10/ecomesh_controlled_d5d10_ecomesh_xy1_fold3_e2e_g05
