material,n_folds,mean_best_val_rmse,std,ci95,min,max
ecomesh_xy1,3,0.2767,0.2402,0.2718,0.1331,0.5539
ecomesh_xy0p5,3,0.3601,0.0575,0.0651,0.3192,0.4258
