run,n,overall_rmse,overall_rel_rmse,d5_rmse,d5_rel_rmse,d5_n,d5_target_rms,d10_rmse,d10_rel_rmse,d10_n,d10_target_rms
xy1_d5d10_ecomesh_xy1_fold3_e2e_g05,498971,0.12890086740757922,0.158141731162869,0.06801273468364798,0.3533142636763773,242533,0.19249926107128554,0.16719750837869124,0.1490878190109678,256438,1.121469946289785
noLSTM,498971,0.307073421348496,0.37673231703405063,0.12932296789288386,0.671810204221997,242533,0.19249926107128554,0.40946018555727104,0.3651102616810273,256438,1.121469946289785
noAttention,498971,0.3448085093154075,0.4230275224635189,0.14361736979190512,0.7460671225055837,242533,0.19249926107128554,0.4602515402088989,0.41040024454651863,256438,1.121469946289785
noCNN,498971,0.20932609926493448,0.2568112409256051,0.08345000071142018,0.43350816126258956,242533,0.19249926107128554,0.2804863815291097,0.2501060170689877,256438,1.121469946289785
