run,n,overall_rmse,d5_rmse,d10_rmse,d5_n,d10_n,d5_target_rms,d10_target_rms,d5_rel_rmse,d10_rel_rmse,overall_rel_rmse
ecomesh_controlled_d5d10_ecomesh_xy1_fold1_e2e_g05,498456,0.5532661279498677,0.14639468944345682,0.7579295274490245,241874,256582,0.18685861002132853,1.1312842221642398,0.7834516666197343,0.669972684670739,0.6730519947478043
ecomesh_controlled_d5d10_ecomesh_xy1_fold2_e2e_g05,495653,0.14323453170669587,0.05561819612890844,0.1917918078341708,239332,256321,0.13559602511418883,1.1266573248331089,0.41017571187703294,0.1702308267179471,0.17560445259180607
ecomesh_controlled_d5d10_ecomesh_xy1_fold3_e2e_g05,498971,0.13300975708513266,0.07484776511502196,0.170661866070668,242533,256438,0.19249926107128554,1.121469946289785,0.38882105156395713,0.15217694119693279,0.16318271296410813
ecomesh_controlled_d5d10_ecomesh_xy0p5_fold1_e2e_g05,2842779,0.3352851633090098,0.34576261407248937,0.32231806704063126,1547674,1295105,0.8826242094188996,0.8344188335777508,0.3917438592582135,0.38627851394319923,0.38941471976404884
ecomesh_controlled_d5d10_ecomesh_xy0p5_fold2_e2e_g05,2822903,0.3191689454193207,0.27656309644990384,0.3642156131630579,1547215,1275688,0.8806703961098727,0.5695767817461139,0.31403700825138187,0.6394495436532825,0.4221217169324812
ecomesh_controlled_d5d10_ecomesh_xy0p5_fold3_e2e_g05,2821084,0.42588411191099995,0.42850468568565725,0.4226786940674216,1547336,1273748,0.881041548133518,0.5625598398804111,0.4863614963374227,0.7513488594515999,0.564767695429247
