run,n,overall_rmse,overall_rel_rmse,d5_rmse,d5_rel_rmse,d5_n,d5_target_rms,d10_rmse,d10_rel_rmse,d10_n,d10_target_rms
noLSTM,498971,0.28699805248908955,0.3521028971627223,0.11120953434044559,0.5777140843115389,242533,0.19249926107128554,0.38545109835606883,0.3437016744240681,256438,1.121469946289785
noAttention,498971,0.32833029364777955,0.4028112616689808,0.1113920864609194,0.5786624106555357,242533,0.19249926107128554,0.4449952819391943,0.39679643971859824,256438,1.121469946289785
noCNN,498971,0.1514748221381088,0.18583653533350628,0.07342177626003844,0.38141328881698505,242533,0.19249926107128554,0.19886343254661024,0.1773239070779561,256438,1.121469946289785
sizeA_ecomesh_xy1_fold3_e2e_g05,498971,0.15415991970282375,0.18913074107288716,0.06847613784976078,0.3557215620916227,242533,0.19249926107128554,0.20446804672906177,0.18232146782489678,256438,1.121469946289785
