,peak_%,halfmax_diam_mm,sigma_mm,active_cells
eco20,22.12897246420652,3.5618358325254946,1.537472799019555,20.25
eco50,46.812902623837076,3.6076135152802458,1.6202089101179113,22.25
ecomesh,43.95781317058424,3.782074685315454,1.6815380163029854,23.75
