material,train_trials,val_trials,best_epoch,best_val_rmse,final_train_loss,grid_step_mm,gt_mode,run_dir
eco20_xy1,eco20_xy1_d10_z3.5_test2;eco20_xy1_d10_z3.5_test3;eco20_xy1_d5_z2.5_test2;eco20_xy1_d5_z2.5_test3,eco20_xy1_d5_z2.5_test1;eco20_xy1_d10_z3.5_test1,1,0.330966127783,0.00400501213463,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_eco20_xy1_fold1_e2e_g05
eco20_xy1,eco20_xy1_d10_z3.5_test1;eco20_xy1_d10_z3.5_test3;eco20_xy1_d5_z2.5_test1;eco20_xy1_d5_z2.5_test3,eco20_xy1_d5_z2.5_test2;eco20_xy1_d10_z3.5_test2,41,0.149406016524,0.00355929694625,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_eco20_xy1_fold2_e2e_g05
eco20_xy1,eco20_xy1_d10_z3.5_test1;eco20_xy1_d10_z3.5_test2;eco20_xy1_d5_z2.5_test1;eco20_xy1_d5_z2.5_test2,eco20_xy1_d5_z2.5_test3;eco20_xy1_d10_z3.5_test3,2,0.202173371329,0.00478834655302,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_eco20_xy1_fold3_e2e_g05
eco50_xy1,eco50_xy1_d10_z3.5_test2;eco50_xy1_d10_z3.5_test3;eco50_xy1_d5_z2.5_test2;eco50_xy1_d5_z2.5_test3,eco50_xy1_d5_z2.5_test1;eco50_xy1_d10_z3.5_test1,37,0.334971802685,0.00513270671076,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_eco50_xy1_fold1_e2e_g05
eco50_xy1,eco50_xy1_d10_z3.5_test1;eco50_xy1_d10_z3.5_test3;eco50_xy1_d5_z2.5_test1;eco50_xy1_d5_z2.5_test3,eco50_xy1_d5_z2.5_test2;eco50_xy1_d10_z3.5_test2,2,0.454484114994,0.00772813227999,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_eco50_xy1_fold2_e2e_g05
eco50_xy1,eco50_xy1_d10_z3.5_test1;eco50_xy1_d10_z3.5_test2;eco50_xy1_d5_z2.5_test1;eco50_xy1_d5_z2.5_test2,eco50_xy1_d5_z2.5_test3;eco50_xy1_d10_z3.5_test3,1,0.714495195701,0.0128754010025,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_eco50_xy1_fold3_e2e_g05
ecomesh_xy1,ecomesh_xy1_d10_z3.5_test2;ecomesh_xy1_d10_z3.5_test3;ecomesh_xy1_d5_z2.5_test2;ecomesh_xy1_d5_z2.5_test3,ecomesh_xy1_d5_z2.5_test1;ecomesh_xy1_d10_z3.5_test1,1,0.574803411101,0.0074338908336,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_ecomesh_xy1_fold1_e2e_g05
ecomesh_xy1,ecomesh_xy1_d10_z3.5_test1;ecomesh_xy1_d10_z3.5_test3;ecomesh_xy1_d5_z2.5_test1;ecomesh_xy1_d5_z2.5_test3,ecomesh_xy1_d5_z2.5_test2;ecomesh_xy1_d10_z3.5_test2,25,0.149957535008,0.00608818402197,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_ecomesh_xy1_fold2_e2e_g05
ecomesh_xy1,ecomesh_xy1_d10_z3.5_test1;ecomesh_xy1_d10_z3.5_test2;ecomesh_xy1_d5_z2.5_test1;ecomesh_xy1_d5_z2.5_test2,ecomesh_xy1_d5_z2.5_test3;ecomesh_xy1_d10_z3.5_test3,49,0.128826883726,0.00551081296831,0.5,gpu_on_the_fly,sats/training/runs/xy1_material_d5d10/xy1_d5d10_ecomesh_xy1_fold3_e2e_g05
