grid_mm,n,loc_mean_mm,loc_median_mm,loc_p90_mm,quant_floor_mm,fz_rel_median
1.0,31090,0.32187536358833313,0.0,1.0,0.408248290463863,0.3921171724796295
0.5,31478,0.4049839377403259,0.5,0.7071067690849304,0.2041241452319315,0.15452995896339417
0.25,31478,0.40584829449653625,0.3535533845424652,0.75,0.10206207261596575,0.16993220150470734
0.1,31478,0.3352065682411194,0.22360722720623016,0.5830953121185303,0.040824829046386304,0.15116196870803833
