setting,overall_rel,d5_rel,d10_rel
sim-trained @ sim val,0.07375913113355637,nan,nan
sim-trained @ real val,1.108710765838623,1.0898395776748657,1.1506050825119019
real-trained(A) @ real val,0.44225814938545227,0.18828576803207397,0.7489577531814575
