,Total |ΔS| (%),Active taxels (N),Propagation σ (mm),Entropy H_norm
eco20,13.23429036228209,1.3779904306220097,0.6129573885485041,0.033867838624215364
eco50,25.468220850085867,3.77491961414791,2.600889286322177,0.21331129766689072
ecomesh,24.34107928670581,3.947058823529412,2.7753018922557184,0.2301455144456613
