material,set,dead_channels,max_dS_Skin1,max_dS_Skin2,max_dS_Skin3,max_dS_Skin4,max_dS_Skin5,max_dS_Skin6,max_dS_Skin7,max_dS_Skin8,max_dS_Skin9,max_dS_Skin10,max_dS_Skin11,max_dS_Skin12,max_dS_Skin13,max_dS_Skin14,max_dS_Skin15,max_dS_Skin16
eco20,20260619_test5,-,21.48,20.29,21.29,18.88,21.85,22.76,22.7,20.8,22.36,20.36,22.69,19.3,23.32,20.53,22.55,20.94
eco20,20260619_test6,-,21.25,19.92,21.09,18.76,21.67,22.54,22.49,20.86,22.09,20.43,22.36,19.33,23.03,20.55,22.24,20.94
eco20,20260619_test7,-,21.2,19.85,21.08,18.65,21.83,22.46,22.77,20.66,22.32,20.42,22.62,19.23,23.23,20.7,22.37,21.08
eco50,20260620_test1,Skin16,43.45,48.07,45.17,47.6,46.83,50.09,44.62,44.07,47.25,48.81,43.73,43.92,48.55,49.77,48.44,0.05
eco50,20260620_test2,Skin1;Skin2,0.0,0.0,44.8,47.44,47.0,50.03,44.8,44.06,47.74,48.85,44.25,43.98,49.34,49.9,49.21,51.13
eco50,20260620_test3,Skin1,0.0,48.14,45.2,47.78,47.53,50.53,45.41,44.69,48.03,49.18,44.2,44.41,49.18,50.21,49.07,51.49
ecomesh,20260622_test1,-,36.8,38.93,41.01,44.75,41.74,36.28,45.56,39.05,33.8,51.13,42.86,52.92,41.3,57.79,45.26,42.07
ecomesh,20260622_test2,-,36.74,38.91,40.95,44.46,41.79,35.97,45.33,38.3,34.06,50.23,43.01,52.09,41.36,57.14,45.23,41.57
ecomesh,20260622_test3,-,36.55,38.37,40.72,43.94,41.43,35.82,45.16,38.36,33.69,50.39,42.5,52.23,40.87,57.34,44.79,41.78
