material,set,Total |ΔS| (%),Active taxels (N),Propagation σ (mm),Entropy H_norm
eco20,20260619_test5,13.23429036228209,1.3779904306220097,0.6129573885485041,0.033867838624215364
eco20,20260619_test6,13.252407470907766,1.3737864077669903,0.6060930456686684,0.03348734844211036
eco20,20260619_test7,13.275552030251847,1.3737864077669903,0.606630245937025,0.033519682886283715
eco20,MEAN,13.2540832878139,1.3751877487186634,0.6085602267180659,0.033624956650869814
eco20,STD(n=3),0.020681817682176074,0.002427193727024736,0.003817514918684428,0.0002109623634731356
eco50,20260620_test1,25.468220850085867,3.77491961414791,2.600889286322177,0.21331129766689072
eco50,20260620_test2,25.440511527372273,3.6597222222222223,2.5362417648518782,0.20630296585543878
eco50,20260620_test3,25.67495014316093,3.765273311897106,2.606089937099607,0.21413581229184805
eco50,MEAN,25.52789417353969,3.7333050494224125,2.5810736627578876,0.2112500252713925
eco50,STD(n=3),0.1281056021110864,0.06390686294020606,0.03891254289452596,0.004304068277853471
ecomesh,20260622_test1,24.34107928670581,3.947058823529412,2.7753018922557184,0.2301455144456613
ecomesh,20260622_test2,24.188700938249692,3.926470588235294,2.7714328059090723,0.22998273787714116
ecomesh,20260622_test3,24.077045818388306,3.9323529411764704,2.775100974573678,0.23028255459367405
ecomesh,MEAN,24.202275347781267,3.9352941176470586,2.7739452242461566,0.2301369356388255
ecomesh,STD(n=3),0.13253911325922155,0.010604562574894295,0.002178135993028404,0.00015009234765032611
